name,category,maker,impa_code,issa_code,oem_number,equipment,specs,aliases,alt_oem
Форсунка Common Rail Bosch (инжектор),fuel_equipment,Bosch,,,0445120100,Дизель Common Rail (в т.ч. MAN),"{""subtype"": ""cr_injector"", ""num_status"": ""verified""}",CRIN;инжектор common rail,51101006127
Форсунка Common Rail MAN (инжектор),fuel_equipment,MAN,,,51101006127,MAN дизель (Common Rail),"{""subtype"": ""cr_injector"", ""num_status"": ""verified""}",CRIN;инжектор MAN,0445120100
Форсунка Common Rail Bosch (инжектор),fuel_equipment,Bosch,,,0445120208,Дизель Common Rail,"{""subtype"": ""cr_injector"", ""num_status"": ""verified""}",CRIN,
Форсунка Common Rail Bosch (инжектор),fuel_equipment,Bosch,,,0445120177,Дизель Common Rail,"{""subtype"": ""cr_injector"", ""num_status"": ""verified""}",CRIN,
Форсунка Common Rail Bosch (инжектор),fuel_equipment,Bosch,,,0445120027,Дизель Common Rail,"{""subtype"": ""cr_injector"", ""num_status"": ""verified""}",CRIN,
Форсунка Common Rail Bosch (инжектор),fuel_equipment,Bosch,,,0445120118,Дизель Common Rail,"{""subtype"": ""cr_injector"", ""num_status"": ""verified""}",CRIN,
Форсунка Common Rail Bosch (инжектор),fuel_equipment,Bosch,,,0445120139,Дизель Common Rail,"{""subtype"": ""cr_injector"", ""num_status"": ""verified""}",CRIN,
Форсунка Common Rail Bosch (инжектор),fuel_equipment,Bosch,,,0445120150,Дизель Common Rail,"{""subtype"": ""cr_injector"", ""num_status"": ""verified""}",CRIN,
Форсунка Common Rail Denso (инжектор),fuel_equipment,Denso,,,095000-5650,Дизель Denso Common Rail,"{""subtype"": ""cr_injector"", ""num_status"": ""verified""}",инжектор денсо,
Форсунка Common Rail Denso (инжектор),fuel_equipment,Denso,,,095000-6480,Дизель Denso Common Rail,"{""subtype"": ""cr_injector"", ""num_status"": ""verified""}",,
Форсунка Common Rail Denso (инжектор),fuel_equipment,Denso,,,095000-5340,Дизель Denso Common Rail,"{""subtype"": ""cr_injector"", ""num_status"": ""verified""}",,
Форсунка Common Rail Denso (инжектор),fuel_equipment,Denso,,,095000-8100,Hino / Denso Common Rail,"{""subtype"": ""cr_injector"", ""num_status"": ""verified""}",,
Форсунка Common Rail Denso (Yanmar),fuel_equipment,Denso,,,095000-9850,Yanmar marine diesel,"{""subtype"": ""cr_injector"", ""num_status"": ""verified""}",yanmar injector,
Форсунка механическая Yanmar,fuel_equipment,Yanmar,,,719575-53100,Yanmar marine diesel,"{""subtype"": ""mech_injector"", ""num_status"": ""verified""}",,
Распылитель форсунки Bosch DLLA,fuel_equipment,Bosch,,,DLLA150P1197,Дизель (распылитель форсунки),"{""subtype"": ""nozzle"", ""num_status"": ""representative""}",nozzle;форсуночный распылитель,
Распылитель форсунки Bosch DLLA,fuel_equipment,Bosch,,,DLLA145P875,Дизель (распылитель форсунки),"{""subtype"": ""nozzle"", ""num_status"": ""representative""}",nozzle,
ТНВД Common Rail Bosch CP3,fuel_equipment,Bosch,,,0445010158,Дизель Common Rail (насос ВД),"{""subtype"": ""hp_pump"", ""num_status"": ""representative""}",high pressure pump;насос высокого давления,
Плунжерная пара (элемент ТНВД),fuel_equipment,Bosch,,,1418415534,Рядный ТНВД,"{""subtype"": ""pump_element"", ""num_status"": ""representative""}",plunger;элемент насоса,
Форсунка Delphi (инжектор),fuel_equipment,Delphi,,,EMBR00101D,Дизель Delphi Common Rail,"{""subtype"": ""cr_injector"", ""num_status"": ""representative""}",,
Форсунка (fuel injection valve) Wärtsilä 32,fuel_equipment,Wärtsilä,,,148821,Wärtsilä 6L32,"{""subtype"": ""injector"", ""num_status"": ""representative""}",форсунка вяртсиля;fuel valve,
Распылитель Wärtsilä 32,fuel_equipment,Wärtsilä,,,,Wärtsilä 6L32,"{""subtype"": ""nozzle"", ""num_status"": ""representative""}",nozzle,
ТНВД (injection pump) Wärtsilä 20,fuel_equipment,Wärtsilä,,,,Wärtsilä 20,"{""subtype"": ""injection_pump"", ""num_status"": ""representative""}",fuel pump,
Форсунка (fuel injection valve) Wärtsilä 46,fuel_equipment,Wärtsilä,,,,Wärtsilä 46,"{""subtype"": ""injector"", ""num_status"": ""representative""}",,
Топливный клапан (fuel valve) MAN B&W ME,fuel_equipment,MAN Energy Solutions,,,,MAN B&W 6S60ME-C,"{""subtype"": ""fuel_valve"", ""num_status"": ""representative""}",fuel valve;топливный клапан,
Распылитель MAN B&W,fuel_equipment,MAN Energy Solutions,,,,MAN B&W MC/ME,"{""subtype"": ""nozzle"", ""num_status"": ""representative""}",,
ТНВД (fuel pump) MAN B&W,fuel_equipment,MAN Energy Solutions,,,,MAN B&W MC,"{""subtype"": ""injection_pump"", ""num_status"": ""representative""}",,
Форсунка MaK M32,fuel_equipment,Caterpillar (MaK),,,,MaK 6M32,"{""subtype"": ""injector"", ""num_status"": ""representative""}",,
